order_id,product_id,add_to_cart_order,reordered
49822,46,7,0
4281,64,5,1
26920,86,6,1
33067,76,4,1
15227,25,4,1
38454,30,6,0
27638,77,2,1
42930,51,9,1
27819,93,10,1
17648,96,2,1
39847,60,5,0
250,18,1,1
413,77,4,0
41644,1,3,1
7610,47,3,1
13639,44,7,1
16862,30,7,0
12320,66,10,0
31204,54,1,0
42987,87,1,1
47748,78,3,1
2630,26,4,1
31983,46,2,0
16831,43,10,0
30783,20,1,1
49257,91,2,1
31607,90,10,1
36088,89,8,0
28723,47,2,1
24286,87,9,1
46988,16,4,0
15780,81,6,0
4257,51,1,0
41841,90,9,1
24167,25,5,1
23453,76,6,0
14836,67,4,0
47302,2,9,0
41084,86,2,1
171,82,1,1
17425,60,5,0
38950,73,4,0
45006,22,4,0
37416,15,6,1
48882,62,4,0
4955,47,8,1
38428,56,8,1
13510,88,8,0
6790,64,7,1
22535,75,6,0
30723,82,8,1
37560,93,5,0
5769,98,4,0
18244,91,5,1
39468,36,1,1
39484,50,1,0
44494,4,7,1
25231,79,6,1
7766,47,8,0
9063,89,4,1
37134,20,4,0
15384,51,10,0
8790,48,10,0
21094,42,2,0
48680,87,8,1
27450,23,2,1
42148,81,9,1
7986,3,7,1
39924,86,2,0
23440,73,6,1
47835,61,6,1
34683,45,5,0
17582,59,7,1
33126,90,7,1
34586,34,8,1
43412,54,7,0
37171,91,2,0
4947,79,10,0
18290,37,4,0
27785,22,6,1
26138,31,5,1
49213,34,7,0
1305,46,2,1
47841,50,7,1
32797,96,7,1
9374,17,3,1
7798,82,6,0
19170,74,7,0
33375,23,9,1
33859,37,6,0
42663,66,7,0
41386,50,4,0
45255,34,6,1
40144,6,4,0
26593,88,4,1
21385,97,2,0
1385,42,8,1
23926,42,5,1
19758,86,9,1
3849,70,10,0
42051,54,9,0
2185,97,4,0
20711,43,3,0
36998,50,7,0
41385,44,1,1
8088,79,2,1
19069,89,9,1
10863,87,6,0
48607,18,7,1
3910,69,2,0
22921,20,3,1
11442,70,4,0
31015,49,6,0
580,40,3,1
25295,92,7,1
20891,51,5,0
35661,97,8,0
2154,23,6,1
26172,50,5,1
36002,40,3,0
7270,24,10,0
38200,76,7,1
23832,55,6,0
30405,45,10,1
33039,65,9,0
19424,89,3,1
33173,99,10,1
4335,56,9,1
23206,41,10,1
23528,100,5,0
30853,92,7,1
35752,41,3,1
42349,100,9,1
44694,19,8,1
48758,86,2,1
13981,67,8,0
16029,13,6,0
3226,67,3,1
1181,50,3,0
35653,9,6,0
38431,49,4,1
40124,1,1,0
18228,37,2,0
13314,86,6,1
2087,75,8,1
29940,4,6,0
4473,73,8,0
30902,76,7,1
27711,62,4,1
9072,33,5,1
7911,79,5,1
19210,50,10,0
48242,19,9,1
30906,35,6,1
36302,66,1,1
25209,100,4,0
44457,70,7,1
4605,55,6,0
24127,9,10,1
45591,82,7,0
48140,84,10,1
36608,91,2,1
42681,63,3,1
33972,96,7,1
18428,1,10,1
20855,22,5,1
22433,13,1,1
47433,54,7,0
32804,27,7,1
32791,64,5,0
36318,96,1,1
15317,35,3,1
31473,56,8,1
34564,80,6,0
5480,55,7,1
3745,76,4,1
41139,65,4,1
17747,46,10,1
22869,50,9,1
25787,45,1,1
48970,32,9,0
44716,1,4,1
45309,44,2,0
3968,19,4,0
4298,15,2,1
29,30,8,1
32752,24,8,1
47375,42,10,1
38924,92,4,0
9959,22,3,0
39264,91,3,1
14683,13,1,0
8065,92,9,1
34346,38,10,1
37344,15,7,1
38561,96,7,0
28256,79,10,1
47965,56,2,1
29478,87,1,1
35232,36,3,1
14910,23,10,0
26747,46,7,1
13142,97,5,1
13045,71,8,1
14983,86,7,0
48352,68,8,0
39927,41,4,1
817,30,8,1
24236,58,8,1
44544,61,3,1
40773,55,8,1
3237,7,9,1
22626,38,2,0
48953,71,6,1
34229,8,3,1
12225,96,2,0
37774,76,8,0
24146,9,9,1
13258,9,5,1
17815,64,7,0
17970,9,1,0
499,21,9,0
38102,85,8,1
5402,45,5,1
49047,91,6,0
27668,36,3,0
30623,47,10,1
46133,96,2,1
5327,65,1,0
43491,100,4,1
13504,33,8,1
22394,78,4,0
30215,51,9,1
8895,43,10,0
7388,76,7,0
14492,58,5,0
11446,86,10,0
5395,35,9,1
25481,19,8,1
17220,27,1,1
21673,95,9,1
5039,65,8,0
39959,80,1,1
42407,72,10,1
34806,96,4,0
24964,2,5,1
27309,30,10,0
45255,43,8,0
20852,10,8,1
48321,51,9,1
4301,65,3,0
30903,25,9,1
1604,76,9,0
23146,95,4,1
40377,54,10,1
16190,89,4,0
34146,60,5,0
19761,15,1,1
36206,8,8,1
48069,3,6,0
16117,30,10,1
13807,58,3,1
27806,71,3,1
36731,51,8,0
46301,25,7,1
31228,96,8,1
29087,99,4,1
33031,42,7,1
42758,79,4,0
44886,18,9,1
448,82,8,1
17130,1,8,0
40045,34,4,1
5327,42,7,1
22285,64,2,1
645,35,5,0
34902,14,5,1
3170,98,3,1
47155,77,10,1
11977,24,2,1
8655,77,9,0
37997,60,3,1
13041,44,8,1
39181,96,9,0
36603,64,6,0
14779,93,8,1
21029,41,1,1
46014,68,9,1
3775,82,7,1
45567,11,5,1
12490,70,10,0
40324,20,4,1
29158,67,9,1
44124,94,8,0
1323,82,8,1
14329,91,2,1
44759,4,10,0
36469,63,5,1
16119,48,7,0
47570,94,4,0
