order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order
1,7271,27,4,21,2
2,861,45,5,20,14
3,5391,37,3,9,30
4,5192,50,0,9,14
5,5735,3,2,9,3
6,6266,12,2,7,1
7,467,7,0,13,3
8,4427,20,4,19,14
9,5579,15,1,21,2
10,8323,1,1,15,7
11,1686,10,3,22,2
12,770,14,6,13,1
13,6950,15,2,16,30
14,2434,34,0,9,2
15,5312,49,6,22,30
16,5052,25,4,7,2
17,6421,31,0,8,30
18,1185,10,2,22,14
19,4556,37,0,21,1
20,3386,6,0,10,7
21,6397,6,0,7,14
22,8667,28,3,12,14
23,9275,38,4,12,2
24,2559,14,1,14,30
25,7850,13,6,19,2
26,2048,13,6,21,14
27,2748,10,4,17,3
28,9168,16,2,13,1
29,9999,39,6,20,7
30,190,35,1,22,14
31,2735,15,5,17,7
32,3006,23,3,16,3
33,4659,37,1,17,3
34,1900,8,1,15,2
35,7735,26,1,8,7
36,1268,22,0,12,14
37,1529,5,2,10,3
38,3557,34,5,11,7
39,3891,27,3,13,14
40,8839,19,5,10,14
41,5394,43,2,14,14
42,8793,43,0,18,7
43,8434,35,3,19,14
44,7514,45,6,16,7
45,2613,20,5,19,14
46,7042,47,0,11,7
47,9556,38,3,8,3
48,6236,13,3,15,30
49,5487,18,4,14,7
50,7100,18,0,14,3
51,9671,1,2,7,14
52,776,32,6,19,30
53,8227,25,6,8,3
54,3153,21,5,10,14
55,1586,27,0,15,3
56,3944,11,5,19,2
57,7556,48,0,17,1
58,3074,1,0,22,14
59,1022,19,4,9,7
60,3844,32,4,12,1
61,7990,8,4,18,3
62,9693,19,4,8,30
63,6874,16,0,15,14
64,5676,35,6,16,1
65,162,2,2,19,7
66,4298,12,1,14,3
67,996,29,0,12,1
68,7630,10,5,17,1
69,9468,22,2,13,30
70,1017,34,1,15,3
71,7870,21,1,18,14
72,6440,37,4,8,1
73,7893,5,1,8,7
74,6864,6,5,15,3
75,7917,32,5,7,2
76,8530,3,2,6,3
77,879,10,4,8,2
78,9269,5,0,19,14
79,4888,24,0,19,3
80,4860,20,4,9,1
81,6332,37,6,10,1
82,8572,31,4,13,1
83,8685,47,1,20,3
84,7209,17,6,19,1
85,5277,49,1,12,2
86,2063,24,2,10,7
87,65,18,4,21,1
88,8007,26,0,19,14
89,2569,42,2,16,7
90,5464,7,0,18,30
91,2028,43,6,19,2
92,2696,14,0,6,1
93,9688,41,2,22,7
94,5259,49,0,13,1
95,5619,2,4,21,14
96,6737,30,6,12,3
97,392,49,5,18,1
98,5893,17,4,12,2
99,3562,20,2,15,1
100,6185,10,0,8,2
101,3100,24,0,6,1
102,6279,44,1,17,30
103,8393,12,3,15,3
104,3105,27,2,12,14
105,7216,15,5,15,14
106,2455,9,0,9,3
107,8997,18,2,22,30
108,2732,48,1,11,3
109,8155,7,2,6,3
110,9763,28,4,21,7
111,5057,46,0,21,7
112,8111,36,1,17,30
113,3841,3,4,17,3
114,1029,44,3,12,30
115,7386,16,3,10,1
116,503,36,2,21,1
117,6911,4,0,7,2
118,9063,35,3,21,14
119,6939,9,1,18,30
120,4489,46,0,14,2
121,207,12,5,12,14
122,5135,10,1,9,1
123,5978,46,1,13,30
124,7722,44,1,16,30
125,7036,44,6,16,30
126,1485,2,5,20,1
127,7859,19,3,19,7
128,864,13,2,11,3
129,2791,42,3,18,3
130,7409,33,3,17,2
131,8756,1,6,7,7
132,5117,28,2,16,3
133,6020,40,4,12,7
134,1758,6,1,8,7
135,7575,3,5,8,14
136,6375,45,4,16,2
137,6893,25,1,7,30
138,1679,44,4,15,30
139,3243,16,1,9,3
140,4637,43,2,21,1
141,1060,4,6,21,1
142,6669,8,2,10,1
143,9915,39,5,6,14
144,3158,16,2,14,1
145,5916,44,0,8,30
146,9790,38,5,18,7
147,2694,23,5,8,2
148,3628,6,1,14,14
149,9556,43,6,14,30
150,5451,44,2,18,1
151,1664,16,4,22,30
152,9722,16,0,14,30
153,5593,23,5,17,3
154,7393,16,0,11,30
155,1307,36,5,8,14
156,6777,12,2,16,3
157,5865,37,3,18,3
158,9475,9,2,19,7
159,7527,18,5,20,7
160,8902,9,6,20,2
161,5576,48,6,22,14
162,5531,21,3,19,1
163,4414,1,2,21,14
164,3749,23,1,15,2
165,664,5,4,22,30
166,1999,19,5,21,3
167,7995,35,5,19,7
