return_id,product_id,inspector_notes,return_reason,classification,date
73d83627-ec64-49bd-a424-70b575a5930f,97,Potential refurbish situation. Extreme weather damage.,Extreme weather damage,refurbish,
f87fb758-e1af-4318-bc8a-bf0b8ca0d663,95,Potential restock situation. Different style preferred.,Different style preferred,restock,
b59cdb5b-fa58-47a7-9424-36bbc2b90f81,32,Returned due to: Ordered wrong quantity.,Ordered wrong quantity,restock,
fe5e1309-9f3f-40b8-8436-be5cd7649806,74,Customer reported: Style doesn't match.,Style doesn't match,restock,
a90b18c1-f92e-4820-90b3-da420e0272f7,10,Unclear if recycle or other. Cracked screen.,Cracked screen,recycle,
7bcce3ed-4b67-4936-9f77-0beec6299119,71,Possible issue: Color not as shown.,Color not as shown,restock,
c5096550-32c2-44fb-b13e-34a6e0011bcc,17,Observed: Permanent staining.,Permanent staining,recycle,
f37e8460-2457-49f8-a1a0-4b7422db60ca,71,Potential refurbish situation. Cosmetic imperfection.,Cosmetic imperfection,refurbish,
25953641-9afd-4fb6-a5ae-bf308f7ab1ec,2,Further testing needed: Material feel different.,Material feel different,recycle,
e3a0efb1-c869-4039-a6a1-660c95a482e7,54,Returned due to: Obvious repair needed.,Obvious repair needed,refurbish,
768222ed-d70f-42b1-b5f4-ad010e15f752,59,Returned due to: Gift return.,Gift return,restock,
cfbc379e-5803-466a-8ee1-58d18824b9ef,4,May require restock. Heavy wear.,Heavy wear,restock,
23c9309b-2672-49e5-bac0-d287b0c60794,50,Possible issue: Significant fading.,Significant fading,refurbish,
a9dd7094-e2de-40e1-bba8-f08a3182c9c1,75,Inspected: Duplicate order. Needs further review.,Duplicate order,restock,
191b04f7-e89b-40a2-90ff-d8ca486634df,94,Assessment: Ordered wrong quantity.,Ordered wrong quantity,restock,
e3851fa2-aa10-4047-85b7-832e2c189755,84,Customer notes: Ordered wrong quantity.,Ordered wrong quantity,restock,
e8a73547-323b-4716-a256-68cb0910a63f,79,Further testing needed: Motor failure.,Motor failure,refurbish,
56814169-ada8-4885-8548-4755cb637b4b,57,Notes: Received as gift.,Received as gift,refurbish,
08dcdcf2-a0cd-4f8c-aca5-c6388e15e999,43,Assessment: Small fabric pull.,Small fabric pull,refurbish,
dd7622f2-be26-4cf4-b429-351804956e38,30,Possible restock case. Product arrived late.,Product arrived late,restock,
6d53ad01-fd9e-4def-a777-fad627bd3422,46,Possible refurbish case. family member disapproval (customer unclear).,family member disapproval (customer unclear),refurbish,
79fe048a-3c9b-4deb-87a2-1f5dd8ca8e52,93,Further testing needed: Minor dent.,Minor dent,refurbish,
885ee129-1ab4-4f0c-86d2-c9747b4e9689,3,Uncertain: Major structural damage.,Major structural damage,recycle,
30b87a51-1016-44a3-a304-0a5ad1d0208d,59,Possible issue: box opened but item unused.,box opened but item unused,refurbish,
a7070103-773e-4f75-8676-796708a39f98,48,Observed: Loose thread.,Loose thread,refurbish,
4684ddf6-68e7-49b1-a464-c23e3f902db5,28,Notes: No longer needed.,No longer needed,refurbish,
71fb90de-c16c-4d54-bc35-d05422670082,67,Flagged: Severe corrosion.,Severe corrosion,recycle,
6f13e964-3c90-43a7-adde-e3285b1c2890,80,Initial check: Seasonal preference change.,Seasonal preference change,restock,
e6570dbe-3051-49ec-bc20-fad4854863dc,5,See attached: Small hole.,Small hole,refurbish,
ab76b604-211b-4480-b9c7-7708edd02127,50,Observed: No longer needed.,No longer needed,restock,
089526ed-02f4-4f5a-8854-1c0c1b2cd5b1,13,Observed: Family member disapproval (customer unclear).,Family member disapproval (customer unclear),restock,
cdc41999-da4b-40e6-9d68-6ec80aca3434,81,Flagged: Small tear.,Small tear,refurbish,
25163d86-661c-46f5-9a7e-b2414254df07,82,Further testing needed: no longer needed.,no longer needed,restock,
8675f4bb-851c-4ca2-b63c-9924edb2934c,91,Unclear if restock or other. Style doesn't match.,Style doesn't match,restock,
