origin,destination,distance_miles,logistics_cost_per_mile,total_logistics_cost
St_Louis_MO,Charlotte_NC,566.5,0.01,5.66
St_Louis_MO,Nashville_TN,253.16,0.01,2.53
St_Louis_MO,Minneapolis_MN,465.98,0.01,4.66
St_Louis_MO,Sacramento_CA,1680.69,0.01,16.81
St_Louis_MO,Milwaukee_WI,327.0,0.01,3.27
St_Louis_MO,Boston_MA,1034.5,0.01,10.34
St_Louis_MO,Louisville_KY,241.02,0.01,2.41
St_Louis_MO,Atlanta_GA,466.4,0.01,4.66
St_Louis_MO,Cincinnati_OH,306.98,0.01,3.07
St_Louis_MO,Miami_FL,1060.86,0.01,10.61
St_Louis_MO,Memphis_TN,240.54,0.01,2.41
St_Louis_MO,Fresno_CA,1615.32,0.01,16.15
St_Louis_MO,Kansas_City_MO,238.07,0.01,2.38
St_Louis_MO,Albuquerque_NM,940.23,0.01,9.4
St_Louis_MO,Oklahoma_City_OK,458.52,0.01,4.59
St_Louis_MO,Las_Vegas_NV,1374.99,0.01,13.75
St_Louis_MO,Orlando_FL,860.32,0.01,8.6
St_Louis_MO,Pittsburgh_PA,557.1,0.01,5.57
St_Louis_MO,Tampa_FL,861.14,0.01,8.61
St_Louis_MO,Denver_CO,794.54,0.01,7.95
St_Louis_MO,Dallas_TX,547.79,0.01,5.48
St_Louis_MO,Detroit_MI,453.8,0.01,4.54
St_Louis_MO,San_Antonio_TX,792.67,0.01,7.93
St_Louis_MO,Chicago_IL,261.83,0.01,2.62
St_Louis_MO,Tucson_AZ,1246.72,0.01,12.47
St_Louis_MO,Phoenix_AZ,1269.51,0.01,12.7
St_Louis_MO,Indianapolis_IN,229.67,0.01,2.3
St_Louis_MO,Columbus_OH,394.97,0.01,3.95
St_Louis_MO,Seattle_WA,1719.29,0.01,17.19
St_Louis_MO,Houston_TX,679.68,0.01,6.8
Charlotte_NC,St_Louis_MO,566.5,0.01,5.66
Charlotte_NC,Nashville_TN,338.74,0.01,3.39
Charlotte_NC,Minneapolis_MN,937.9,0.01,9.38
Charlotte_NC,Sacramento_CA,2238.04,0.01,22.38
Charlotte_NC,Milwaukee_WI,658.31,0.01,6.58
Charlotte_NC,Boston_MA,719.77,0.01,7.2
Charlotte_NC,Louisville_KY,342.95,0.01,3.43
Charlotte_NC,Atlanta_GA,225.98,0.01,2.26
Charlotte_NC,Cincinnati_OH,335.07,0.01,3.35
Charlotte_NC,Miami_FL,653.82,0.01,6.54
Charlotte_NC,Memphis_TN,519.48,0.01,5.19
Charlotte_NC,Fresno_CA,2163.18,0.01,21.63
Charlotte_NC,Kansas_City_MO,800.66,0.01,8.01
Charlotte_NC,Albuquerque_NM,1452.77,0.01,14.53
Charlotte_NC,Oklahoma_City_OK,938.04,0.01,9.38
Charlotte_NC,Las_Vegas_NV,1914.47,0.01,19.14
Charlotte_NC,Orlando_FL,462.64,0.01,4.63
Charlotte_NC,Pittsburgh_PA,363.02,0.01,3.63
Charlotte_NC,Tampa_FL,511.49,0.01,5.11
Charlotte_NC,Denver_CO,1354.42,0.01,13.54
Charlotte_NC,Dallas_TX,927.67,0.01,9.28
Charlotte_NC,Detroit_MI,504.6,0.01,5.05
Charlotte_NC,San_Antonio_TX,1103.09,0.01,11.03
Charlotte_NC,Chicago_IL,586.77,0.01,5.87
Charlotte_NC,Tucson_AZ,1736.05,0.01,17.36
Charlotte_NC,Phoenix_AZ,1777.48,0.01,17.77
Charlotte_NC,Indianapolis_IN,427.72,0.01,4.28
Charlotte_NC,Columbus_OH,347.56,0.01,3.48
Charlotte_NC,Seattle_WA,2279.2,0.01,22.79
Charlotte_NC,Houston_TX,925.05,0.01,9.25
Nashville_TN,St_Louis_MO,253.16,0.01,2.53
Nashville_TN,Charlotte_NC,338.74,0.01,3.39
Nashville_TN,Minneapolis_MN,696.82,0.01,6.97
Nashville_TN,Sacramento_CA,1901.09,0.01,19.01
Nashville_TN,Milwaukee_WI,478.59,0.01,4.79
Nashville_TN,Boston_MA,940.61,0.01,9.41
Nashville_TN,Louisville_KY,154.84,0.01,1.55
Nashville_TN,Atlanta_GA,214.1,0.01,2.14
Nashville_TN,Cincinnati_OH,237.63,0.01,2.38
Nashville_TN,Miami_FL,815.67,0.01,8.16
Nashville_TN,Memphis_TN,196.79,0.01,1.97
Nashville_TN,Fresno_CA,1824.61,0.01,18.25
Nashville_TN,Kansas_City_MO,472.25,0.01,4.72
Nashville_TN,Albuquerque_NM,1116.1,0.01,11.16
Nashville_TN,Oklahoma_City_OK,603.03,0.01,6.03
Nashville_TN,Las_Vegas_NV,1575.75,0.01,15.76
Nashville_TN,Orlando_FL,612.79,0.01,6.13
Nashville_TN,Pittsburgh_PA,471.37,0.01,4.71
Nashville_TN,Tampa_FL,620.66,0.01,6.21
Nashville_TN,Denver_CO,1019.79,0.01,10.2
Nashville_TN,Dallas_TX,616.16,0.01,6.16
Nashville_TN,Detroit_MI,470.16,0.01,4.7
Nashville_TN,San_Antonio_TX,823.13,0.01,8.23
Nashville_TN,Chicago_IL,397.1,0.01,3.97
Nashville_TN,Tucson_AZ,1404.77,0.01,14.05
Nashville_TN,Phoenix_AZ,1442.37,0.01,14.42
Nashville_TN,Indianapolis_IN,251.23,0.01,2.51
